course_id,mean_rating,cantidad
Aboriginal education,4.53,4
Access control sscp,4.32,3
Accounting analytics,4.39,5
Accounting data analytics python,3.5,1
Actualizacion manejo diabetes tipo 2,4.82,2
Addiction and the brain,4.56,6
Addiction treatment,4.92,1
Advanced valuation and strategy,4.64,3
Agile atlassian jira,4.7,3
Ai for everyone,4.85,2
Ai for medical diagnosis,4.58,1
Ai for medical prognosis,4.75,1
Algorithmic toolbox,4.54,5
American law,4.81,6
Analytics business metrics,4.55,6
Analytics excel,3.75,6
Anatomy403 1x,4.76,2
Animal welfare,4.75,6
Antibiotic stewardship,4.17,3
Anticorrupcion introduccion,4.83,2
Applied data science capstone,4.57,3
Aprendiendo a aprender,4.92,5
Aprendiendo programar python,4.32,4
Arbitration international disputes,4.84,3
Arts heritage,4.78,5
Astro,4.85,6
Attention models in nlp,3.29,1
Aulaconstructivista,4.9,6
Autism spectrum disorder,4.59,6
Autodesk autocad design drafting,4.86,2
Autodesk revit architectural design,4.67,1
Aws fundamentals addressing security risk,4.28,2
Aws fundamentals going cloud native,4.62,3
Aws machine learning,4.24,2
Basic statistics,4.6,5
Batch data pipelines gcp,4.26,1
Bayesian statistics,4.47,5
Bcg uva darden digital transformation,4.79,3
Becoming a veterinarian,4.72,6
Beyond the sustainable development goals addressing sustainability and development,4.67,1
Big data essentials,3.52,4
Big data introduction,4.53,5
Big history,4.79,6
Biohacking your brains health,4.59,3
Bioinformatics,4.1,5
Blockchain basics,4.52,3
Bootstrap 4,4.82,4
Brand,4.91,3
Bugs 101,4.96,2
Build a computer,4.88,5
Building modern python applications on aws,5.0,1
Business,4.88,5
Business english intro,4.78,5
Business model,4.75,5
Business transformation google cloud,4.73,2
C for everyone,4.28,2
C plus plus white,4.73,4
Camino excelencia gestion proyectos,4.47,5
Cancer,4.76,5
Careerdevelopment,4.88,5
Cats and dogs,4.72,4
Challenging forensic science,4.88,2
Change management,4.53,2
Chemicals health,4.81,5
Child development,4.78,4
Childnutrition,4.78,6
Childrens rights,4.63,4
Ciencia computacao python conceitos,4.9,5
Classical sociological theory,4.88,6
Classification vector spaces in nlp,4.4,1
Clinical data management,4.7,5
Clinical research,4.74,6
Clinical terminology,4.86,5
Clinical trials,4.73,5
Clinicalsimulations,4.83,2
Cloud azure intro,4.29,1
Cloud infrastructure design process,4.74,4
Communication strategies virtual age,4.65,3
Community organizing,4.53,1
Company future management,4.82,5
Competencias digitales ofimatica,4.72,2
Competencias lab,4.31,4
Computational neuroscience,4.58,5
Computational thinking problem solving,4.73,3
Computer networking,4.62,3
Construction project management,4.75,5
Contabilidad,4.7,5
Contact tracing for covid 19,4.8,1
Containerized apps on aws,4.32,1
Contemporary art,4.88,2
Content marketing,4.36,4
Contracts 1,4.84,2
Contrats,4.84,5
Conversational experiences dialogflow,4.45,3
Convolutional neural networks,3.85,4
Convolutional neural networks tensorflow,4.46,2
Corp sustainability,4.62,3
Corporate commercial law part1,4.91,3
Corporate finance essentials,4.82,5
Corporatestrategy,4.9,4
Correccion estilo variaciones,4.74,5
Countering terror violent extremism,4.84,1
Covid 19 contact tracing for nursing professionals,4.43,1
Covid 19 what you need to know,4.84,1
Craft of plot,4.63,5
Crash course in causality,4.62,4
Creative problem solving,4.02,6
Creative thinking techniques and tools for success,4.75,1
Crypto,4.78,5
Cs fundamentals 1,4.6,2
